Comment,Designator,Footprint,LCSC
"0.1uF","C1,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13","Capacitor_SMD:C_0805_2012Metric","C1760"
"220uF","C2","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm",""
"100uF","C3","CP_Elec_6.3x5.4_Nichicon","C111600"
"5V LED","D1","LED_SMD:LED_0805_2012Metric","C913075"
"VIN1 LED","D2","LED_SMD:LED_0805_2012Metric","C913075"
"VIN2","D3","LED_SMD:LED_0805_2012Metric","C913075"
"Zener 10V","D4","Diode_SMD:D_SOD-123","C151060"
"Zener 5.1V","D5","Diode_SMD:D_SOD-123","C85181"
"3544-2","F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17","3544-2:FUSE_3544-2",""
"150 OHM","FB1","Resistor_SMD:R_0805_2012Metric","C139474"
"~","J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_3-G-3.5_1x03_P3.50mm_Vertical",""
"Power In Right","J18","Barrier_Blocks:BARRIER_BLOCK_1ROW_2POS_P9.5MM",""
"GPIO Header","J19","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"RTC Conn","J20","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"OLED Conn","J21","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"VIN Voltage","J23","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"RJ45","J24,J25,J26,J27,J28,J29","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal",""
"USB_A","J30","Connector_USB:USB_A_Molex_105057_Vertical",""
"Power In Left","J31","Barrier_Blocks:BARRIER_BLOCK_1ROW_2POS_P9.5MM",""
"DMP3056L-7","Q1","DMP3056L7:Diodes_Inc.-SOT23-01_2017-0-IPC_A","C150724"
"120","R1","Resistor_SMD:R_0805_2012Metric","C17437"
"1K","R2,R4","Resistor_SMD:R_0805_2012Metric","C17513"
"4.7k","R3,R5","Resistor_SMD:R_0805_2012Metric","C17673"
"100K","R6","Resistor_SMD:R_0805_2012Metric","C149504"
"10K","R7,R8","Resistor_SMD:R_0805_2012Metric","C17414"
"33","RN1,RN2,RN3,RN4","Resistor_THT:R_Array_SIP8",""
"OLED Select","SW1","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight",""
"AT24C256C-SSGL-T","U1","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C6482"
"TPS2051BDBVR","U11","digikey-footprints:SOT-753","C24593"
"TPD4S009DBVR","U12","Package_TO_SOT_SMD:SOT-23-6","C88032"
"POCKETBEAGLE-SC-569","U13","POCKETBEAGLE-SC-569:BEAGLE_POCKETBEAGLE-SC-569",""
"OKI-78SR-5_1.5-W36-C","U2","Converter_DCDC:Converter_DCDC_Murata_OKI-78SR_Vertical",""
"SN74HCT245PWR","U3,U4","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C6779"
"AM26C31IDR","U5,U6,U7,U8,U9,U10","SOIC127P600X175-16N","C34923"
